Wydział;Kierunek;Grupa_ogolna;Wada;Ilosc;Kategoria_wady
Z2WD;PL;Drzwi;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;4;Niezgodność z zamówieniem
Z2WF;PL;Futryny;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;4;Niezgodność z zamówieniem
Z3WD;EX;Futryny;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;1;Niezgodność z zamówieniem
Z3WD;PL;Drzwi;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;1;Niezgodność z zamówieniem
Z3WD;PL;Futryny;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;1;Niezgodność z zamówieniem
Z4WF;PL;Futryny;Niezgodność z zamówieniem (brak okuć wszystkie całe zawiasy)- Niewłaściwa realizacja zamówienia -błąd w produkcji;1;Niezgodność z zamówieniem
Z1WD;PL;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;3;Niezgodność z zamówieniem
Z1WD;PL;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;7;Niezgodność z zamówieniem
Z2WD;EX;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;9;Niezgodność z zamówieniem
Z2WD;PL;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;2;Niezgodność z zamówieniem
Z2WF;EX;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;3;Niezgodność z zamówieniem
Z2WF;EX;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;2;Niezgodność z zamówieniem
Z2WF;PL;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;2;Niezgodność z zamówieniem
Z2WF;PL;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;2;Niezgodność z zamówieniem
Z3WD;EX;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;4;Niezgodność z zamówieniem
Z3WD;PL;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;6;Niezgodność z zamówieniem
Z3WD;PL;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;19;Niezgodność z zamówieniem
Z4WD;PL;Drzwi;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;3;Niezgodność z zamówieniem
Z4WD;PL;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;1;Niezgodność z zamówieniem
Z4WF;PL;Futryny;Niezgodność z zamówieniem (pomylone okucia)- Niewłaściwa realizacja zamówienia -błąd w produkcji;2;Niezgodność z zamówieniem
Z2WD;EX;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z2WD;PL;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;2;Niezgodność z zamówieniem
Z2WF;PL;Futryny;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z3WD;EX;Listwa,opaska,panel kpl;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z3WD;PL;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;3;Niezgodność z zamówieniem
Z3WD;PL;Futryny;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z3WD;PL;Listwa,opaska,panel szt;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;13;Niezgodność z zamówieniem
Z4WD;PL;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z4WD;PL;Futryny;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z4WF;PL;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;1;Niezgodność z zamówieniem
Z4WF;PL;Futryny;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd przy wprowadzaniu zamówienia;3;Niezgodność z zamówieniem
Z3WD;PL;Drzwi;Niezgodność z zamówieniem - Niewłaściwa realizacja zamówienia -błąd wydania z magazynu;1;Niezgodność z zamówieniem
Z2WD;PL;Drzwi;Uszkodzenia mechanczne - szyby;1;Uszkodzenia mechaniczne
Z1WD;PL;Futryny;Uszkodzenia mechaniczne - inne;1;Uszkodzenia mechaniczne
Z2WD;EX;Drzwi;Uszkodzenia mechaniczne - inne;1;Uszkodzenia mechaniczne
Z2WF;PL;Drzwi;Uszkodzenia mechaniczne - inne;1;Uszkodzenia mechaniczne
Z2WF;PL;Futryny;Uszkodzenia mechaniczne - inne;1;Uszkodzenia mechaniczne
Z3WD;PL;Drzwi;Uszkodzenia mechaniczne - inne;2;Uszkodzenia mechaniczne
Z3WD;PL;Futryny;Uszkodzenia mechaniczne - inne;5;Uszkodzenia mechaniczne
Z1WD;EX;Drzwi;Uszkodzenia mechaniczne - obicia;1;Uszkodzenia mechaniczne
Z1WD;PL;Drzwi;Uszkodzenia mechaniczne - obicia;2;Uszkodzenia mechaniczne
Z1WD;PL;Futryny;Uszkodzenia mechaniczne - obicia;2;Uszkodzenia mechaniczne
